NO,上平声,上平声,上平声,上平声,上平声,上平声,上平声,上平声,上平声,上平声,上平声,上平声,上平声,上平声,上平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,入声,入声,入声,入声,入声,入声,入声,入声,入声,入声,入声,入声,入声,入声,入声,入声,入声
11,衷,茏,扛,宜,闱,蕖,瞿,提,阶,媒,仁,坟,蕃,坛,斑,烟,调[调和],梢,桃,陀,瓜,王,烹,停,冰,由,心,涵,纤,凡,蠓,勇,0,累,篚,渚,估,弟,0,蕾,盾[阮韵同],揾,沅,懒,柬,辇,杪,咬,脑,左,夏[华夏],敞,永,等,狗,凛,撼,簟,范,痛,供[供设，名词],0,自,魏,絮,布,惠,害,怪,悔,鬓,分[名分],券,散[解散],栈[潸韵同],传[传记],曜,较,诰,唾,灞,浪[波浪],圣,邓,漏,噤,澹[咸韵同],厌,0,族,狱,啄,壹,弗,竭,拔[挺拔],刷,舌,约,册,镝,殛,习,蛤,惬,乏
12,忠,舂,杠,仪,霏,余,氍,蹄,皆,煤,神,群,樊,滩,蛮,燕[地名],蜩,姣,糟,娥,斜,房,平,仃,膺,油,琴,函[包函],签,馋,汞,甬,0,技,娓,煮,土,坻,0,傀,闵,槿,宛,伞,拣,免,沼,炒,恼,果,也,氅,骋,鼎,久,懔,毯,贬,0,栋,从[仆从],0,字,纬,著[显著],步,慧,蔼,坏,诲,晋,紊,远[动词],旦,惯,见,耀,窖,到,播,嫁,酿,咏,证,富[遇韵同],甚[寝韵同],瞰,焰[俭韵同],0,鹿,绿,琢,吉,勿,窟,葛,滑,洁,脚,碧,檄,息,给,衲,涉,怯
13,盅,松,腔,皮,菲[芳菲],予[我也],儒,啼,谐,雷,亲,裙,喧,弹,颜,莲,枭,庖,旄,蛾,邪,芳,枰,馨,鹰,游,禽,岚,瞻,芟,0,踊,0,绮,悱,暑,吐,柢,0,儡,悯,瑾,婉,伴,撰,展,眇,吵,岛,裹,把,厂,逞,顶,负[麌韵同],沈[姓氏],糁,冉,0,恸,缝[隙也],0,义,胃,箸,固,币,艾,诫,晦,骏,愠,侃,算[名词],串,砚,调[音调],爆,蹈,破,赦,旷,姓,秤,陋,鸩,淡,垫,0,漉,毒,剥,秩,迄,笏,闼,辖,别,雀,籍[典籍],激,熄,十,沓,鬣,劫
14,虫,凇,梆,儿,妃,誉[动词],襦,鸡,骸,颓,申,君,萱,残,奸,怜,浇,匏,袍,鹅,芽,长,京,星,应[应当],猷,擒,蚕,蟾,搀,0,涌,0,觜,榧,鼠,圃,涕,0,腿,菌[真韵同],恽,畹,卵,馔,茧,矫,佼,倒[跌到],朵,厦,枉,颖,肯,厚,朕,湛,苒,0,仲,重[再也],0,利,汇[字汇],豫,素,弟,丐,戒,昧,闰,近[动词],键,玩,绽,院,钓,炮[枪炮],傲,卧,籍[凭籍],壮,庆,称[相称],狩,赁,缆,欠,0,腹,局,驳,率,不,钺,渴,铩,缺,幕,格,寂,直,拾,鸽,捷,胁
15,冲,淞,桩,离,飞,舆,濡,稽,排,崔,身,军,暄,干,攀,连,聊,坳,挠[巧韵同],萝,嘉,塘,惊,腥,蝇,悠,衾,探,炎,喃,0,俑,0,此,韪,汝,庾,悌,0,海,蚓,韫,菀,散[散布],赧,辨,皎,姣[肴韵同],祷[号韵同],锁,惹,往,颍,拯,手,荏,菡,陕,0,中[击中],共,0,器,谓,恕,具,滞,奈,界,配,峻,抆,贩,烂,幻,练,吊,泡[肴韵同],暴[强暴],货,假[休假],放,映,莹[庚韵同],昼,喑,0,僭,0,菊,欲,雹,律,怫,歇,拨,猾,裂,洛,役,觌,值,袭,踏,颊,插
16,终,冲,幢,施,非,胥,须,兮,乖,催,宾,勤,冤,肝,顽,田,辽,敲,蒿,荷[荷花],瑕,妆,荆,醒[醉醒],绳,攸,钦,贪,添,嵌,0,蛹,0,泚,炜,茹[食也],户,济[水名],0,改,牝,0,蜿,伴,皖,篆,杳,昴,捣,琐,冶,颡,顷,謦,叟,婶,萏,谄,0,粽,0,0,位,渭,与[参与],务,际,柰,介,妹,衅,拼,畈,贯,瓣,链,叫,刨[肴韵同],好[爱好],簸,蔗,向,病,孕,寇,渗,0,酽,0,陆,束,璞,逸,绋,突,豁,捌,热,壑,帛,溺,得,及,拓,楫[缉韵同],锸
17,忡,容,跫[冬韵同],知,扉,狙,需,倪,怀,摧,滨,斤,言,竿,山,填,寥,胞,涛,何,纱,常,明,惺,升,牛,吟,耽,兼,掺,0,恐,0,蕊,虺,黍,"树[种植,动词]",澧,0,采,殒,0,绻,诞,汕,勉,窈,茆,抱,堕,贾[姓贾],强[勉强],整,刭,守,沈[沈阳],罱,俨,0,讽,0,0,戏,卉[尾韵同],遽,雾,涕[荠韵同],汰,芥,喙,振,奋,曼,半,苋,燕,眺,稍,劳[慰劳],轲[轗轲],化,忘,柄,兴[兴趣],茂,窨,0,潋,0,轴,鹄,朴,佚,沸,忽,括,叭,决,索,戟,觅,北,级,拉,聂,押
18,崇,榕,0,驰,肥,锄,朱,霓,淮,堆,槟,筋,轩,阑,闲,巅,撩,抛,皋,过[经过],鸦,凉,盟,俜,缯,修,今,眈,缣,巉,0,拱,0,徙,玮,杵,煦,醴,0,彩,紧,0,巘,罕,铲,剪,窕,獠[萧韵同],讨,惰,假[真假],惘,静,溟,否[麌韵同],葚,椠,闪,0,空[空缺],0,0,至,讳,疏[书疏],鹜,厉,癞,械,溃,俊,郓,挽,案,办,宴,少[老少],钞[肴韵同],躁,驮,舍[庐舍],仗[养韵同],劲,剩,旧,妊,0,滟,0,逐,蜀,壳,失,茀,袜,抹,札,铁,郭,璧,狄,黑,涩,盍,摄,狎
19,嵩[崧],蓉,0,池,威,疏,珠,西,豺,陪,缤,勋,藩,栏,艰,鬈,寮,蛟,号[号呼],磨[琢磨],遮,霜,鸣,灵,凭,羞,襟[衿],龛,沾,0,0,竦,0,尔,虮,处[居住、处理],诩,诋,0,在,蠢,0,挽,瀚[浣],羼,卷,袅,0,考,妥,且,两,省,0,右,禀,喊,剡,0,控,0,0,次,毅,庶,数[数量],契[契约],霭,薤,吠,舜,捃,[挽联],按,谩,贱,诮,拗,造[造就],髁[歌韵同],价,畅,竞,凭[蒸韵同],胄,0,0,俺,0,苜,促,确,漆,厥,曰,遏,扎,灭,错,驿,荻,侧,楫[叶韵同],塌,慑,夹
20,菘,溶,0,规,祈,蔬,株,栖,侪,杯,邻,薰,媛,澜,间[中间],宣,僚,崤,陶,螺,叉,藏,荣,龄,"乘[驾乘,动词]",秋,金,堪,尖,0,0,悚,0,弭,0,贮,努,眯,0,宰,陨,0,堰,断[断绝],见,显,挑[挑拨],0,燥,坐[坐立],玛,曩,幸,0,受,噤,嵌[咸韵同],忝[艳韵同],0,哄,0,0,累[连累],既,预,怒[麌韵同],敝,会,拜,肺,赆,靳,瑗,炭,讪[删韵同],馔,料,敲[肴韵同],冒,磋,射,量[数量],靓,迳,宙,0,0,砭,0,蓿,触,浊,栗,倔,阀,挞,帕,折,跃,麦,幂,贼,粒,咂,镊,恰
21,戎,庸,0,危,畿,梳,诛,犀,埋,醅,鳞,曛,援,兰,悭,年,尧,鵁,鳌,禾,奢,场,莹,玲,胜[胜任],周,音,谈,潜,0,0,耸,0,婢,0,女,辅,娣,0,醢,哂,0,混,侃,楝,饯[霰韵同],掉[啸韵同],0,扫[号韵同],裸,姐,丈,颈,0,牖,谂,橄,奄,0,赣,0,0,伪,"衣[着衣,动词]",语[告也],附,弊,旆,快,耒,吝,0,媛,汗,铲,荐,疗,淖,悼,作,骂,葬,净,甑,袖,0,0,坫,0,宿[住宿],续,擢,毕,黻,筏,跋,茁,拙,若,额,戚,饰,汁,盒,蹑,蛱
22,绒,佣,0,夷,机,虚,朱,嘶,霾,嵬,麟,醺,辕,看[翰韵同],患[谏韵同],颠,宵,鞘,曹,珂,涯[支佳韵同],央,兵,铃,兴[兴起],州,阴,甘,阎,0,0,巩,0,侈,0,许,组,棨,0,铠,诊,0,棍,算[动词],栈,践,肇,0,嫂,跛,舍,杖,郢,0,偶,怎,榄,歉,0,0,0,0,寺,蜚,踞,兔,毙,最,迈,块,烬,0,圈[猪圈],赞,绾,绢,潦,0,倒[颠倒],做,稼,匠,竟,宁,岫,0,0,0,0,牧,浴,濯,恤,崛,鹘[黠韵同],撮,鹘,切,酌,柏,鹢,刻,蛰,卅,协,硖
23,弓,慵,0,师,几[微也如见几],嘘,铢,撕,斋,推[支韵同],珍,芸,番,刊,孱,牵,消,抄,遭,蓑,巴,泱,兄,伶,仍,洲,岑,三,镰,0,0,怂,0,弛,0,拒,乳,递,0,恺,疹,0,阃,款,0,喘,缥,0,保,颇[稍也],喏,仗[漾韵同],猛,0,走,恁,0,芡,0,0,0,0,瑞,溉[队韵同],倨,故,帝,贝,败,碓,讯,0,论[名词],漫[寒韵同。又副词，独用],孪,彦,掉[筱韵同],0,燥,剁,架,障,孟,胫,柚,0,0,0,0,伏,酷,渥,密,尉,厥[物韵同],泼,揠,悦,托,魄,涤,则,执,搭,侠,掐
24,躬,封,0,姿,讥,墟,蛛,梯,槐[灰韵同],诙,瞋,耘,繁,丸,潺,妍,霄,蝥,羔,婆,耶,鸯,卿,零,兢,舟,簪[覃韵同],酣,黏,0,0,奉,0,豕,0,炬,弩,昵,0,待,赈,0,悃,但,0,藓,缈,0,鸨,夥,赭,响,丙,0,阜[麌韵同],饪,0,崭,0,0,0,0,智,翡,蓣,顾,蔽,沛,稗,刈,仞,0,恨,冠[冠军],篡,掾,峤,0,犒,磨[磨磐],诈,瘴,诤,暝[夜也],覆,0,0,0,0,夙,躅,幄,蜜,蔚,蹶,秣,萨,辙,削,积[积聚],的,塞[闭塞],笠,褡,荚,剳
25,宫,胸,0,迟,玑,徐,殊,鼙,睚,裴,尘,芹,翻,完,擐,研[研究],绡,咆,糕,坡,嗟,秧,生,听[径韵同],矜,酬,壬,柑,淹,0,0,0,0,紫,0,距,补,睨,0,殆,肾,0,捆,坦,0,软,渺,0,稿,颗,洒,掌,炳,0,九,覃,0,堑,0,0,0,0,记,诽,淤,句,髻,霈,晒,悖,迅,0,寸,灌,裥,便[便利],徼,0,靠,懦,亚,谤,更[更加],钉[动词],复[又也],0,0,0,0,读[读书],褥,握,桔,契,蕨,掇[屑韵同],捺,诀,铎,脉,吃,式,隰,飒,挟,袷
26,穹,凶,0,龟,稀,猪,俞,赍,崽,培,陈,欣,幡,桓,圜,眠,销,哮,高,呵,遐,嫱,甥,冥,征[征求],雠,任[负荷],惭,钳,0,0,0,0,旨,0,所,鲁,蠡,0,怠,蜃,0,衮,袒,0,蹇[阮韵同],淼,0,草,祸,嘏,党,杏,0,后,0,0,渐[盐韵同],0,0,0,0,异,0,锯,墓,锐,绘,瀣,焙,汛,0,困,爨,扮,眷,跳,0,懊,糯,麝,尚,并,订,救,0,0,0,0,犊,旭,学,溢,屹,殁,聒,0,泄,凿,夕,沥,轼,汲,磕,铗,眨
27,融,匈,0,眉,希,闾,瑜,迷,楷,盔,春,氲,璠,纨,菅,渊,超,凹,搔,哥,加,床,笙,溟,称[称赞],柔,歆,蓝,甜,0,0,0,0,指,0,楚,橹,0,0,乃,膑,0,滚,纂,0,演,茑,0,昊,桠,剐,想,秉,0,咎,0,0,罨,0,0,0,0,致,0,觑,慕,戾,脍,湃,淬,趁,0,顿,窜,0,倦,嘹,0,瑁,缚,怕,涨,[梗韵同],饤,厩,0,0,0,0,渎,欲,龌,瑟,熨[未韵同],橛,獭[黠韵同],0,锲,箔,液,雳,域,吸,榼,浃,胛
28,雄,汹,0,悲,衣[衣服],庐,榆,泥,秸,偎,津,荤,鸳,端,般[寒韵同],涓,朝,淆,毛,轲,笳,方,牲,铭,登,俦,森,担,恬,0,0,0,0,视,0,础,睹,0,0,载[岁也],黾,0,鲧,缎,0,兖,赵,0,浩,婀,打,鲞,耿,0,薮,0,0,捡,0,0,0,0,备,0,狙[鱼韵同],暮,裔,荟,寨,敦[盘敦],衬,0,遁[阮韵同],幔,0,羡,漂,0,燠[皓韵同],锉,借,饷,聘,锭,臭,0,0,0,0,牍,笃,龊,膝,绂,掘[物,刺,0,咽[呜咽],鹊,尺,霹,蜮,絷,遢,睫,呷
29,熊,雍,0,之,依,驴,愉,溪,揩,煨,秦,汶,鹓,湍,颁,捐,潮,教[使也],艘,沱,赊,浆,擎,瓶,灯,畴,禁[力所胜任],簪[侵韵同],拈,0,0,0,0,美,0,阻,腐,0,0,凯,泯,0,稳,拌,0,件,兆,0,镐,逻,耍,榜,矿,0,吼,0,0,弇,0,0,0,0,肆,0,翥,募,袂,狈,疥,塞[边塞],仅,0,钝,粲,0,奠,镣,0,耄,挼,卸,样,硬,謦,佑,0,0,0,0,椟,督,槊,匹,0,韵,喝,0,轶,诺,隙,惕,殖,挹,蹋,厌,歃
30,穷,邕,0,芝,归,诸,逾,蹊,挨,瑰,频,汾,蜿,酸,鬘,娟,嚣,跑,滔,鼍,槎,觞,鲸,屏,僧,筹,祲,谭,砭,0,0,0,0,否[否泰],0,俎,数[动词],0,0,闿,窘,0,本,懑,0,腆,缴,0,杲,卵,那,爽,冷,0,帚,0,0,崦,0,0,0,0,翠,0,薯,注,系,侩,届,爱,觐,0,闷,灿,0,遍,廖,0,糙,些[楚些],帕,藏[库藏],炳,泞,右,0,0,0,0,黩,赎,搦,述,0,同],磕,0,噎,萼,逆,剔,植,浥,蜡,靥,闸
31,冯,痈,0,时,饥[支韵同],储,渝,圭,俳,茴,苹,殷,湲,团,疝,边,骄,艄,骚,拖,差[差错],梁,迎,萍,憎,稠,喑,昙,詹,0,0,0,0,痞,0,沮,簿,0,0,倍,吮,0,畚,谰,0,跣,缭[萧韵同],0,缟,那,0,广,靖,0,垢,0,0,玷,0,0,0,0,"骑[车骑,名词]",0,0,住,祭,桧,蒯,代,蔺,0,逊,璨,0,恋,尿,0,套[皓韵同],0,坝,舫,泳,瞪,囿,0,0,0,0,毂,渌,镯,黜,0,核,蘖,0,彻,度[测度],画[动词],砾,敕,悒,溘,蹀,霎[叶韵同]
32,风,浓,0,诗,矶,除,窬,闺,模,胚,颦,雯,爰,攒,讪,编,娇,捎,韬,驼,蟆,娘,行[行走],荧,增,丘,深,坛,蒹,0,0,0,0,兕,0,叙,竖,0,0,蓓,缜,0,笨,莞,0,缅,夭[夭折],0,槁,坷,0,享,哽,0,舅,0,0,0,0,0,0,0,使[使者],0,0,注,卫,蜕,篑,载[载运],浚,0,嫩,换,0,啭,肖,0,纛[沃韵同],0,靶,访,迸,蹭,豆,0,0,0,0,复[恢复],纛,喔,弼,0,蝎,瘌,0,澈,橐,百,翟,亟,岌,邋,躞,0
33,枫,脓,0,棋,欷,滁,谀,携,谟,徘,濒,贲,掀,官,斓,悬,蕉,爻,缫,跎,骅,庄,衡,萤,曾,邱,琛,婪,歼,0,0,0,0,几,0,绪,普,0,0,迨,0,0,损,0,0,缱,悄,0,堡,爹[麻韵同],0,向,绠,0,纽,0,0,0,0,0,0,0,试,0,0,驻,隶,酹,蒉,态,赈[轸韵同],0,溷,焕,0,眩,鞘,0,潦,0,鹧,贶,横[蛮横],蹬,饾,0,0,0,0,粥,碡,邈,跸,0,勃,袜,0,哲,钥,辟,籴,棘,熠,趿,燮,0
34,疯,重[重复],0,旗,诽,蜍,腴,畦,摹,坯,银,纭,燔,观[观看],娴,泉,焦,咬,膏,佗[他],虾,黄,耕,荣,矰,抽,涔,戡,黔,0,0,0,0,姊,0,序,侮,0,0,亥,0,0,忖,0,0,鲜[少也],舀,0,皂,簸,0,飨,荇,0,藕,0,0,0,0,0,0,0,类,0,0,炷,闭,外,喟,菜,龀,0,诨,唤,0,钏,悄[筱韵同],0,耗,0,贳,嶂,摒,亘[亘古],窦,0,0,0,0,肃,北[职韵同],荦,七,0,渤,活,0,鳖,龠,赤,倜,惑,葺,0,摺,0
35,丰,从[服从],0,辞,绯,如,区,嵇,蒲,桅,垠,昕,圈,鸾,鹇,迁,椒,铙,牢,颇[偏颇],葭,仓,萌,扃,层,瘳,骎,颔,钤,0,0,0,0,比,0,屿,斧,0,0,0,0,0,囤,0,0,殄,侥,0,瑙,叵,0,幌,艋,0,朽,0,0,0,0,0,0,0,弃,0,0,祚,逝,兑,聩,碍,认,0,巽,涣,0,倩,峭,0,0,0,炙,当[适当],阱,镫[鞍镫],瘦,0,0,0,0,碌,瞩,0,叱,0,悖[队韵同],鸹,0,设,瀹,易[变易],析,忒,什,0,辄,0
36,充,逢,0,词,晞,畲,躯,跻,逋,傀,筠,熏,谖,銮,鳏,仙,饶,茭,醪,峨,袈,皇,甍,垧,能,遒,参[参差],痰,佥,0,0,0,0,水,0,墅,聚,0,0,0,0,0,遁,0,0,扁,蓼,0,媪,垛,0,莽,蜢,0,臼,0,0,0,0,0,0,0,饵,0,0,裕,缀,0,块,戴,殡,0,褪,悍,0,卞,哨,0,0,0,嗄,抗,檠,滢,漱,0,0,0,0,骕,嘱,0,卒[终也],0,孛,斡,0,啮,着,革,晰,默,芨,0,婕,0
37,隆,缝,0,期,葳,淤,驱,奚,胡,儡[贿韵同],巾,0,魂,峦,殷[赤黑色],鲜[新鲜],硝,炮[炮制],逃,俄,裟,装,宏,蜻,朋,收,忱,篮,觇,0,0,0,0,轨,0,巨,午,0,0,0,0,0,很,0,0,匾,娆,0,燠,哆,0,纺,皿,0,肘,0,0,0,0,0,0,0,媚,0,0,误,翳,0,惫,贷,摈,0,喷[元韵同],弹[名词],0,汴,俏,0,0,0,乍,桁,迎,凳,咒,0,0,0,0,鬻,勖,0,虱,0,揭[屑韵同],怛,0,劣,著,脊,淅,织,廿,0,谍,0
38,窿,峰,0,祠,巍,妤,岖,脐,湖,莓,囷,0,浑,冠[衣冠],纶[纶巾],钱,烧[焚烧],泡,濠,摩,砂,殇,闳,硎,鹏,鸠,淋,褴,崦,0,0,0,0,止,0,去[除也],伍,0,0,0,0,0,沌,0,0,蚬,硗,0,袄,硪,0,长[长幼],儆,0,韭,0,0,0,0,0,0,0,鼻,0,0,悟,替,0,0,黛,缙,0,艮,惮,0,片,醮,0,0,0,咤,妄,郑,磴,究,0,0,0,0,育,溽,0,悉,0,碣,钹,0,玦,虐,翮,蜥,匿,揖,0,堞,0
39,空,锋,0,基,沂,苴,趋,醯,瑚,开,民,0,温,欢,0,煎,遥,鲛,壕,么,衙,襄,茎,苓,肱,搜,妊,蚶,渐,0,0,0,0,徴,0,苣,釜,0,0,0,0,0,恳,0,0,岘,剿,0,懊,么[歌韵同],0,网,悻,0,亩[麌韵同],0,0,0,0,0,0,0,易[容易],0,0,寤,细,0,0,概,躏,0,揾,段,0,禅[封禅],燎[筱韵同],0,0,0,诧,怆,獍,泾,疚,0,0,0,0,六,缛,0,戌,0,粤,捋,0,截,掠,屐,劈,慝,煜[屋韵同],0,霎,0
40,公,丰,0,疑,圻,菹,扶,黧,乎,哀,岷,0,孙,宽,0,然,徭,刨,饕,娑,呀,骧,罂,聆,薨,驺,掺,憨,鹣,0,0,0,0,市,0,举,缕,0,0,0,0,0,垦,0,0,畎,晁,0,葆,峨[歌韵同],0,荡,婧,0,剖,0,0,0,0,0,0,0,辔,0,0,戍,桂,0,0,岱,廑,0,0,看[寒韵同],0,谴,鹩,0,0,0,侘,宕,帧,0,谬,0,0,0,0,缩,梏,0,嫉,0,樾,0,0,窃,获[收获],获[猎获],甓,亿,歙,0,嗫,0
